[s: 1553632770, ns: 949272248] temperature value is 0.000000
[s: 1553632771, ns: 48737724] temperature value is 1.000000
[s: 1553632771, ns: 49255570] light value is 0.000000
[s: 1553632771, ns: 148856577] temperature value is 2.000000
[s: 1553632771, ns: 148908051] light value is 1.000000
[s: 1553632771, ns: 248814759] light value is 2.000000
[s: 1553632771, ns: 248877500] temperature value is 3.000000
[s: 1553632771, ns: 348929784] light value is 3.000000
[s: 1553632771, ns: 349877785] temperature value is 4.000000
[s: 1553632771, ns: 448862070] light value is 4.000000
[s: 1553632771, ns: 448906311] temperature value is 5.000000
[s: 1553632771, ns: 548925824] light value is 5.000000
[s: 1553632771, ns: 548993273] temperature value is 6.000000
[s: 1553632771, ns: 648771587] light value is 6.000000
[s: 1553632771, ns: 648819777] temperature value is 7.000000
[s: 1553632771, ns: 749239436] light value is 7.000000
[s: 1553632771, ns: 749328234] temperature value is 8.000000
[s: 1553632771, ns: 849399763] light value is 8.000000
[s: 1553632771, ns: 849581294] temperature value is 9.000000
[s: 1553632771, ns: 948858506] light value is 9.000000
[s: 1553632771, ns: 948936027] temperature value is 10.000000
[s: 1553632772, ns: 49488617] light value is 10.000000
[s: 1553632772, ns: 49577191] temperature value is 11.000000
[s: 1553632772, ns: 148958457] light value is 11.000000
[s: 1553632772, ns: 149001494] temperature value is 12.000000
[s: 1553632772, ns: 249091959] light value is 12.000000
[s: 1553632772, ns: 249133857] temperature value is 13.000000
[s: 1553632772, ns: 349021217] light value is 13.000000
[s: 1553632772, ns: 349074511] temperature value is 14.000000
[s: 1553632772, ns: 449145467] light value is 14.000000
[s: 1553632772, ns: 449225640] temperature value is 15.000000
[s: 1553632772, ns: 549443534] light value is 15.000000
[s: 1553632772, ns: 549554475] temperature value is 16.000000
[s: 1553632772, ns: 649607942] light value is 16.000000
[s: 1553632772, ns: 649679966] temperature value is 17.000000
[s: 1553632772, ns: 749342719] light value is 17.000000
[s: 1553632772, ns: 749405953] temperature value is 18.000000
[s: 1553632772, ns: 849165783] light value is 18.000000
[s: 1553632772, ns: 849271948] temperature value is 19.000000
[s: 1553632772, ns: 948860035] light value is 19.000000
[s: 1553632772, ns: 948924463] temperature value is 20.000000
[s: 1553632773, ns: 48792039] light value is 20.000000
[s: 1553632773, ns: 48837552] temperature value is 21.000000
[s: 1553632773, ns: 148851903] light value is 21.000000
[s: 1553632773, ns: 148986425] temperature value is 22.000000
[s: 1553632773, ns: 248900135] light value is 22.000000
[s: 1553632773, ns: 248987067] temperature value is 23.000000
[s: 1553632773, ns: 348935418] light value is 23.000000
[s: 1553632773, ns: 349060634] temperature value is 24.000000
[s: 1553632773, ns: 448956360] light value is 24.000000
[s: 1553632773, ns: 449078879] temperature value is 25.000000
[s: 1553632773, ns: 548995494] light value is 25.000000
[s: 1553632773, ns: 549119926] temperature value is 26.000000
[s: 1553632773, ns: 649116737] light value is 26.000000
[s: 1553632773, ns: 649222924] temperature value is 27.000000
[s: 1553632773, ns: 748768761] temperature value is 28.000000
[s: 1553632773, ns: 748845668] light value is 27.000000
[s: 1553632773, ns: 849210650] light value is 28.000000
[s: 1553632773, ns: 849895722] temperature value is 29.000000
[s: 1553632773, ns: 948765911] light value is 29.000000
[s: 1553632773, ns: 948806281] temperature value is 30.000000
[s: 1553632774, ns: 49342887] temperature value is 31.000000
[s: 1553632774, ns: 49396716] light value is 30.000000
[s: 1553632774, ns: 148999774] temperature value is 32.000000
[s: 1553632774, ns: 149068403] light value is 31.000000
[s: 1553632774, ns: 249043505] light value is 32.000000
[s: 1553632774, ns: 249151054] temperature value is 33.000000
[s: 1553632774, ns: 348919175] light value is 33.000000
[s: 1553632774, ns: 349005427] temperature value is 34.000000
[s: 1553632774, ns: 449169113] temperature value is 35.000000
[s: 1553632774, ns: 449220715] light value is 34.000000
[s: 1553632774, ns: 549111847] temperature value is 36.000000
[s: 1553632774, ns: 549254401] light value is 35.000000
[s: 1553632774, ns: 649673116] temperature value is 37.000000
[s: 1553632774, ns: 649748195] light value is 36.000000
[s: 1553632774, ns: 748796307] temperature value is 38.000000
[s: 1553632774, ns: 748845077] light value is 37.000000
[s: 1553632774, ns: 849229760] temperature value is 39.000000
[s: 1553632774, ns: 849299654] light value is 38.000000
[s: 1553632774, ns: 949133287] temperature value is 40.000000
[s: 1553632774, ns: 949337535] light value is 39.000000
[s: 1553632775, ns: 49193320] light value is 40.000000
[s: 1553632775, ns: 49235947] temperature value is 41.000000
[s: 1553632775, ns: 148884680] light value is 41.000000
[s: 1553632775, ns: 148925666] temperature value is 42.000000
[s: 1553632775, ns: 248739915] light value is 42.000000
[s: 1553632775, ns: 248782703] temperature value is 43.000000
[s: 1553632775, ns: 348780660] light value is 43.000000
[s: 1553632775, ns: 348821790] temperature value is 44.000000
[s: 1553632775, ns: 448846060] light value is 44.000000
[s: 1553632775, ns: 448887624] temperature value is 45.000000
[s: 1553632775, ns: 548884181] light value is 45.000000
[s: 1553632775, ns: 548949853] temperature value is 46.000000
[s: 1553632775, ns: 648963170] light value is 46.000000
[s: 1553632775, ns: 649027483] temperature value is 47.000000
[s: 1553632775, ns: 748998342] light value is 47.000000
[s: 1553632775, ns: 749040016] temperature value is 48.000000
[s: 1553632775, ns: 849028275] light value is 48.000000
[s: 1553632775, ns: 849092669] temperature value is 49.000000
[s: 1553632775, ns: 948881464] light value is 49.000000
[s: 1553632775, ns: 948947249] temperature value is 50.000000
[s: 1553632776, ns: 49245380] temperature value is 51.000000
[s: 1553632776, ns: 49296789] light value is 50.000000
[s: 1553632776, ns: 149224631] temperature value is 52.000000
[s: 1553632776, ns: 149274688] light value is 51.000000
[s: 1553632776, ns: 249303011] light value is 52.000000
[s: 1553632776, ns: 249346613] temperature value is 53.000000
[s: 1553632776, ns: 348870486] temperature value is 54.000000
[s: 1553632776, ns: 348919510] light value is 53.000000
[s: 1553632776, ns: 449009186] temperature value is 55.000000
[s: 1553632776, ns: 449049271] light value is 54.000000
[s: 1553632776, ns: 548849250] temperature value is 56.000000
[s: 1553632776, ns: 549024756] light value is 55.000000
[s: 1553632776, ns: 648923790] light value is 56.000000
[s: 1553632776, ns: 648984389] temperature value is 57.000000
[s: 1553632776, ns: 749211464] temperature value is 58.000000
[s: 1553632776, ns: 749380135] light value is 57.000000
[s: 1553632776, ns: 849165170] temperature value is 59.000000
[s: 1553632776, ns: 849199083] light value is 58.000000
[s: 1553632776, ns: 949616942] light value is 59.000000
[s: 1553632776, ns: 949653907] temperature value is 60.000000
[s: 1553632777, ns: 49125853] light value is 60.000000
[s: 1553632777, ns: 49159545] temperature value is 61.000000
[s: 1553632777, ns: 149060289] temperature value is 62.000000
[s: 1553632777, ns: 149098153] light value is 61.000000
[s: 1553632777, ns: 249163296] light value is 62.000000
[s: 1553632777, ns: 249196469] temperature value is 63.000000
[s: 1553632777, ns: 349424284] light value is 63.000000
[s: 1553632777, ns: 350120247] temperature value is 64.000000
[s: 1553632777, ns: 449246866] light value is 64.000000
[s: 1553632777, ns: 449986717] temperature value is 65.000000
[s: 1553632777, ns: 549335565] light value is 65.000000
[s: 1553632777, ns: 550002558] temperature value is 66.000000
[s: 1553632777, ns: 648843494] light value is 66.000000
[s: 1553632777, ns: 649404081] temperature value is 67.000000
[s: 1553632777, ns: 748875007] light value is 67.000000
[s: 1553632777, ns: 748920544] temperature value is 68.000000
[s: 1553632777, ns: 848861085] light value is 68.000000
[s: 1553632777, ns: 848898134] temperature value is 69.000000
[s: 1553632777, ns: 948899145] light value is 69.000000
